14.01,2.68,3.50,69.89,1.68,5.87
12.73,1.85,1.86,72.69,0.60,10.09
11.56,1.88,1.56,72.86,0.47,11.41
11.03,1.71,1.56,73.44,0.58,11.62
12.64,0.00,1.65,73.75,0.38,11.53
12.86,0.00,1.83,73.88,0.97,10.17
13.27,0.00,1.76,73.03,0.47,11.32
13.44,0.00,1.58,72.22,0.32,12.24
13.02,0.00,3.04,70.48,6.21,6.96
13.00,0.00,3.02,70.70,6.21,6.93
13.38,0.00,1.40,72.25,0.33,12.50
12.85,1.61,2.17,72.18,0.76,9.70
12.97,0.33,1.51,73.39,0.13,11.27
14.00,2.39,1.56,72.37,0.00,9.57
13.79,2.41,1.19,72.76,0.00,9.77
14.46,2.24,1.62,72.38,0.00,9.26
14.09,2.19,1.66,72.67,0.00,9.32
14.40,1.74,1.54,74.55,0.00,7.59
14.99,0.78,1.74,72.50,0.00,9.95
14.15,0.00,2.09,72.74,0.00,10.88
14.56,0.00,0.56,73.48,0.00,11.22
17.38,0.00,0.34,75.41,0.00,6.65
13.69,3.20,1.81,72.81,1.76,5.43
14.32,3.26,2.22,71.25,1.46,5.79
13.44,3.34,1.23,72.38,0.60,8.83
14.86,2.20,2.06,70.26,0.76,9.76
15.79,1.83,1.31,70.43,0.31,8.61
13.88,1.78,1.79,73.10,0.00,8.67
14.85,0.00,2.38,73.28,0.00,8.76
14.20,0.00,2.79,73.46,0.04,9.04
14.75,0.00,2.00,73.02,0.00,8.53
14.56,0.00,1.98,73.29,0.00,8.52
14.14,0.00,2.68,73.39,0.08,9.07
13.87,0.00,2.54,73.23,0.14,9.41
14.70,0.00,2.34,73.28,0.00,8.95
14.38,0.00,2.66,73.10,0.04,9.08
15.01,0.00,2.51,73.05,0.05,8.83
15.15,0.00,2.25,73.50,0.00,8.34
11.95,0.00,1.19,75.18,2.70,8.93
14.85,0.00,2.42,73.72,0.00,8.39
14.80,0.00,1.99,73.11,0.00,8.28
14.95,0.00,2.27,73.30,0.00,8.71
14.95,0.00,1.80,72.99,0.00,8.61
14.94,0.00,1.87,73.11,0.00,8.67
14.39,0.00,1.82,72.86,1.41,6.47
14.37,0.00,2.74,72.85,0.00,9.45
14.14,0.00,2.88,72.61,0.08,9.18
14.92,0.00,1.99,73.06,0.00,8.40
14.36,0.00,2.02,73.42,0.00,8.44
14.38,0.00,1.94,73.61,0.00,8.48
14.23,0.00,2.08,73.36,0.00,8.62
